breakCommit,fixCommit,primaryFile,category,lesson,hoursToFix,fileCount
a64bf8da,76de3af6,public/static/data/sentinel-history.json,null-reference,"Decks were built and hands dealt during init() (page load), → Validate prerequisites before executing logic. Check that DOM elements exist, APIs are loaded, and d",0.0,3
76de3af6,46cec269,public/static/data/sentinel-history.json,css-layout,"Added overflow:hidden — may clip child elements. Also: Changed cards: fill width with 4px gaps, minimum 64px */ --board-card-width: clamp(64px, calc(( → overflow:hidden on a parent silently clips children that extend beyond bounds. Check all child eleme",0.0,3
46cec269,1c919aa6,public/static/battle.css,css-layout,".arena-container was position:fixed with no overflow, → overflow:hidden on a parent silently clips children that extend beyond bounds. Check all child eleme",0.0,3
e4587940,bffff458,public/static/data/sentinel-history.json,other,The defer attribute we added to GSAP CDN scripts broke index.html.,24.0,2
bffff458,d0d20984,public/claim.html,unknown,"perf: Score 75->82 (B+) — tiered architecture thresholds, API surface dedup fix, 309 scripts deferred",0.0,10
f78ac6bf,98b541bd,public/static/data/sentinel-history.json,i18n,feat(sentinel): Upgrade to v2.5 — 10-module health platform with trend tracking & auto-fix engine,0.0,3
98b541bd,0abd8031,public/static/data/sentinel-report.json,unknown,feat(i18n): Auto-fix 70 pages with NW-I18N Auto-Fixer v1.0,0.0,1
7c3975b2,a8311f88,public/cards.html,other,mode (run NW_UI_GUARDIAN.debug(true)),0.0,2
a8311f88,5111c6a4,public/cards.html,css-layout,Changed bottom: 185px → 130px. Also: Changed left: 50% → 12px; Changed transform: translateX(-50%) → none → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,1
5111c6a4,406af4d9,public/cards.html,css-layout,Changed z-index: 50 → 60. Also: z-index: 50 → 60 — stacking context collision; Changed bottom: 160px → 185px → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec,0.0,1
406af4d9,4e5dd99c,public/cards.html,css-layout,"Changed font-size: clamp(24px, 6vw, 36px) → clamp(14px, 4vw, 20px). Also: Changed padding: 8px 14px → 5px 10px; Changed font-size: clamp(24px, 6vw, 36 → CSS value changes should be tested at multiple screen sizes. Check for inherited properties and spec",0.0,1
54d0be08,082b7a66,public/static/data/avatar-components.json,other,Card #624: Fixed shutter shades (horizontal slats) + asymmetrical hair - workflow learning,0.0,2
474e946a,ad1c5d29,.ai-files-auto.txt,unknown,FIX: Unified i18n system - single source of truth,0.0,23
3a81ac8f,101f6578,public/static/icons/gold.png,build-config,Changed resource path → Use path constants or import for assets. Hardcoded paths break when files move or builds change outp,0.0,3
c2ba641c,ea47b53c,public/static/icons/nwg.svg,null-reference,Added typeof !== undefined guard — variable was used before definition. Also: Added missing return statement — function was returning undefined; Added → Use typeof check before accessing globals that may not be loaded yet. This often indicates a load-or,0.0,1
fcb85258,717792e9,public/merch.html,other,merch.html: diamond -> nwg (3-tier currency),0.0,1
c12c7366,e231b1af,.ai-context.md,mobile-compat,"Stats grid was overlapping on small screens due to fixed px positions → Test every UI change at 320px, 768px, and 1024px. Add @media breakpoints for layouts that break at d",0.0,1
a7d85729,7b4ab8d3,public/embassy.html,i18n,Embassy: fix language toggle + add hero banner,0.0,1
